"inc_number","inc_assignment_group","inc_opened_at","inc_cmdb_ci","inc_short_description","taskslatable_has_breached","inc_u_escalation_reason"
"INC0797387","SC_ALL_L2_WKS","12/08/2025 11:41:09","Windows 11","no access to SERVIER_PL1-CanonUniflowdriver_2.60_NA_X64_R01","false","Assigned for Resolution"
"INC0881357","SC_ALL_L2_WKS","16/04/2026 21:54:12","ThinkCell","Think-Cell - Update or license renewal -Mise à jour ou renouvellement de licence","false","Assigned for Resolution"
"INC0875161","SC_ALL_L2_WKS","31/03/2026 11:18:04","Adobe Acrobat","WFH-adobe-user can't open a pdf file","false","Assigned for Resolution"
"INC0789985","SC_ALL_L2_WKS","17/07/2025 10:48:48","Windows Workstation","WFH - Windows workstation - installer : ALM Toolkit","false","Assigned for Resolution"
"INC0813301","SC_ALL_L1_SDK","02/10/2025 10:57:26","Planner 365","Je souhaiterai avoir l'accès au planner premium","false","Assigned for Resolution"
"INC0758926","SC_ALL_L2_WKS","11/04/2025 10:04:56","Adobe Acrobat","ORLEANS_Adobe Acrobat_ne peux pas ouvrir les pdf ","false","Assigned for Resolution"
"INC0837165","SC_ALL_L1_SDK","12/12/2025 20:24:37","WEBSOP","I can't continue to use this website because of the Java ","false","Assigned for Resolution"
"INC0724445","SC_ALL_L2_GAM","02/01/2025 16:40:02","Windows Account","WFH_Windows Account_compte disable","false","Assigned for Resolution"
"INC0845575","SC_ALL_L2_GAM","14/01/2026 09:37:21","Ansible tower","RITM0417190 - analyse","false","Assigned for Resolution"
"INC0802188","SC_ALL_L2_WKS","29/08/2025 09:29:20","FlowJo","[FlowJO-JAVA]Impossible d'ouvrir FlowJo. Message d'erreur concernant le chargement de VM Java","false","Assigned for Resolution"
"INC0849962","SC_ALL_L2_GAM","27/01/2026 09:46:46","CHRONOS_II","Target address issue. Outlook/mailbox Chronos, No sent emails to recipients from the mailbox cbsvcgta@servier.com","false","Assigned for Resolution"
"INC0809529","SC_ALL_L1_SDK","22/09/2025 10:53:18","Windows Account","Compte désactiver ","false","Assigned for Resolution"
"INC0729857","SC_ALL_L2_WKS","17/01/2025 13:41:08","Windows Workstation","( demande d'installation ) après l'installation de autodesk design review il faut installer auusi DWG-TrueView","false",""
"INC0828090","SC_ALL_L2_GAM","18/11/2025 07:28:18","NextGen MyITportal","SI1 and HR1: generic mailboxes deprovisioned - related to INC0827631","true","Assigned for Resolution"
"INC0762401","SC_ALL_L2_WKS","22/04/2025 13:53:37","Windows Workstation","Bolbec-TDM Excel Add-In 21.3  -Installation issue ","false","Assigned for Resolution"
"INC0881111","SC_ALL_L2_GAM","16/04/2026 13:30:33","Network Drive","Cannot write to ALL subfolders under Svc Labo Produits - Analytique","false","Assigned for Resolution"
"INC0779826","SC_ALL_L2_GAM","17/06/2025 09:39:45","Windows Account","Saclay - Windows - Reset srzzmobsr009755@servier.om","false","Assigned for Resolution"
"INC0844252","SC_ALL_L2_WKS","09/01/2026 14:44:57","Powerpoint 365","Office Timeline","true","Assigned for Resolution"
"INC0732482","SC_ALL_L2_WKS","24/01/2025 12:48:14","Windows Account","account locked ","false",""
"INC0768559","SC_ALL_L2_WKS","13/05/2025 06:59:21","Windows Workstation","Temporary admin credential for machine OR201427","false",""
"INC0792615","SC_ALL_L1_SDK","25/07/2025 07:22:32","bl003766","Depuis que j'ai changé de téléphone, j'ai un problème avec mon Authentificator, j'ai ce message (voir photo) à chaque fois que je vais sur un site interne","false","Assigned for Resolution"
"INC0783659","SC_ALL_L2_WKS","26/06/2025 18:07:29","Windows Account","Message récurrent mot de passe","false","Assigned for Resolution"
"INC0745050","SC_ALL_L2_WKS","03/03/2025 11:42:49","AnyDesk","Other users cannot invite my to reomote control their devices via AnyDesk","false","Assigned for Resolution"
"INC0725097","SC_ALL_L1_SDK","06/01/2025 09:46:13","Windows Account","Baclaire-Windows-Compte deprovisionné ","false","Assigned for Resolution"
"INC0778835","SC_ALL_L2_WKS","13/06/2025 11:08:18","PHARES","Please deploy a  package OPENTEXT_D2-Documentum-ActiveX_Msxml6_1.0_NA_X86_R01 on myPC.","false","Assigned for Resolution"
"INC0848277","SC_ALL_L2_WKS","21/01/2026 17:02:02","ePaper","Je n'ai pas ePaper","false","Assigned for Resolution"
"INC0750033","SC_ALL_L2_WKS","17/03/2025 20:40:21","Intune","Personal Device, need to remove from Intune","true","Assigned for Resolution"
"INC0842931","SC_ALL_L2_WKS","06/01/2026 17:15:11","Windows Workstation","Installation - Application : MeasureKiller de BrunnerBI","false","Assigned for Resolution"
"INC0842389","SC_ALL_L2_GAM","05/01/2026 15:31:34","Windows Account","Compte désactivé - HAMDAR","false","Assigned for Resolution"
"INC0731047","SC_ALL_L2_WKS","21/01/2025 14:17:32","Adobe Acrobat","Gidy - Adobe Acrobat - Souci de modification ","false","Assigned for Resolution"
"INC0727252","SC_ALL_L1_SDK","10/01/2025 15:09:11","Outlook 365","Problème sur mon adresse mail ","false","Assigned for Resolution"
"INC0790871","SC_ALL_L2_WKS","21/07/2025 09:13:21","Powerpoint 365","Surval - Powerpoint 365 - need thinkcell license ","false","Assigned for Resolution"
"INC0865245","SC_ALL_L2_WKS","05/03/2026 13:49:27","Windows Workstation","Windows 11 Update Failed","false","Assigned for Resolution"
"INC0873811","SC_ALL_L2_GAM","26/03/2026 16:35:22","Network Drive","Wrong permission following RITM0446669","false","Assigned for Resolution"
"INC0794007","SC_ALL_L2_WKS","30/07/2025 16:28:39","Windows Workstation","Please push MATHWORKS_Matlab_R2024b_MUI_X64_R01 package to EMVDTCSAPP1-041 ","false",""
"INC0794493","SC_ALL_L2_GAM","01/08/2025 10:01:33","Geniall","Pas d'accès à GeniALL ","false",""
"INC0882842","SC_ALL_L1_SDK","21/04/2026 10:24:21","CATSWEB","Impossibilité d'ouvrir de dossier ou de ce connecter a CATSweb ","false","Incorrect Assignment"
"INC0820119","SC_ALL_L1_SDK","23/10/2025 08:28:37","EURECA","Eureca ne s'ouvre pas","false","Assigned for Resolution"
"INC0805628","SC_ALL_L1_SDK","09/09/2025 10:32:20","TOPSPIN BL","[PR] Je ne peux pas utiliser certains programmes","false","Assigned for Resolution"
"INC0786968","SC_ALL_L2_WKS","07/07/2025 12:51:57","Adobe Acrobat","le compte n'est pas connecté ","false",""
"INC0874107","SC_ALL_L2_WKS","27/03/2026 12:30:07","AnyDesk","Unable to connect from IT Admin PC to computer","false","Assigned for Resolution"
"INC0791522","SC_ALL_L2_WKS","22/07/2025 11:29:07","Adobe Acrobat","Adobe Acrobate doesn't work","false","Assigned for Resolution"
"INC0758141","SC_ALL_L2_WKS","09/04/2025 15:35:01","Windows Workstation","Software request- J'ai besoin d'installer le logiciel Loupe Browser ","false",""
"INC0842028","SC_ALL_L2_GAM","05/01/2026 09:06:49","Windows Account","Baclair - Windows account - password reset, account disabled","false","Assigned for Resolution"
"INC0767349","SC_ALL_L2_WKS","07/05/2025 13:51:45","ADMIN","Require temporary admin account to install application in my Win 11 VDI for windows 11 testing activities. ","false","Assigned for Resolution"
"INC0790102","SC_ALL_L1_SDK","17/07/2025 14:40:43","Windows Workstation","GD2 - probleme de session - UP1","false","Assigned for Resolution"
"INC0857955","SC_ALL_L2_WKS","16/02/2026 09:49:02","Windows 11","DELATTE - installation XML Tools sur machine virtuelle","false","Assigned for Resolution"
"INC0737910","SC_ALL_L2_WKS","10/02/2025 15:51:45","NextGen","Installation d'applications suite changement de poste","false","Assigned for Resolution"
"INC0882556","SC_ALL_L2_WKS","20/04/2026 15:45:34","Office Timeline","WFH-Office timeline -Update issue ","false","Assigned for Resolution"
"INC0725745","SC_ALL_L2_WKS","07/01/2025 11:39:00","Printing MFP","surval_printing_unable to print all documents ","false","Assigned for Resolution"
"INC0761311","SC_ALL_L2_WKS","17/04/2025 12:00:25","Powerpoint 365","Licence renewal request of Think cell (previous one just expired)","false","Assigned for Resolution"
"INC0819375","SC_ALL_L2_WKS","21/10/2025 11:05:36","FlowJo","Following RITM0381635, Please install FlowJo v11 (for testing purposes) on user's desktop without uninstalling FlowJo v10. Reference incident : INC0818454.","false","Assigned for Resolution"
"INC0780240","SC_ALL_L2_WKS","18/06/2025 08:44:42","Windows Workstation","Surval- Laptop - thinkcell license key renewal","false","Assigned for Resolution"
"INC0737971","SC_ALL_L1_SDK","10/02/2025 18:21:18","SharePoint O365","my recorded video from meeting is deleted ","false","Insufficient Informations"
"INC0842419","SC_ALL_L2_GAM","05/01/2026 16:05:37","Windows Account","WFH- windows account - disabled ","false","Assigned for Resolution"
"INC0743615","SC_ALL_L2_GAM","26/02/2025 10:41:42","Printing MFP","Saclay - Xerox -  user needs code puk","false","Assigned for Resolution"
"INC0790298","SC_ALL_L2_WKS","18/07/2025 08:54:49","Windows Workstation","wfh_Windows Workstation_install python ","false","Assigned for Resolution"
"INC0826390","SC_ALL_L2_WKS","12/11/2025 11:36:45","Windows Workstation","Surval-Windows workstation -Installation issue ","false","Assigned for Resolution"
"INC0804119","SC_ALL_L2_WKS","04/09/2025 10:45:46","Windows Workstation","Please provide the temporary admin credentials for BL003593 to install the Eigenvector toolboxes which will be valid till 5/09/2025 9:00 pm CET","false",""
"INC0780293","SC_ALL_L2_WKS","18/06/2025 09:46:46","Windows Workstation","Surval- SMARTEXPORTER- Not available  in MyITPortal ","false","Assigned for Resolution"
"INC0850000","SC_ALL_L2_WKS","27/01/2026 10:32:13","Powerpoint 365","[en attente de licence Officetimeline]-La demande faite pour la version Expert d'office time line a été acceptée, clôturée (RITM0421445) mais ne fonctionne pas.","true","Assigned for Resolution"
"INC0842875","SC_ALL_L1_SDK","06/01/2026 15:14:15","Adobe Acrobat","User can't find adobe on the PC even after RITM0413814","false","Assigned for Resolution"
"INC0841008","SC_ALL_L2_WKS","29/12/2025 09:36:58","Windows Workstation","i need this program; I am waiting for more than a month now. I cannot work correctly ","false","Assigned for Resolution"
"INC0794312","SC_ALL_L2_WKS","31/07/2025 16:24:40","Windows 11","I can't print on malfunction device from word, Excel... since i am on Windows 11","false","Assigned for Resolution"
"INC0749073","SC_ALL_L2_WKS","13/03/2025 21:15:04","CEDRES","WebPV Access ","false","Assigned for Resolution"
"INC0817857","SC_ALL_L1_SDK","15/10/2025 18:05:11","Windows Workstation","ne lit plus les codes","false","Assigned for Resolution"
"INC0866725","SC_ALL_L2_WKS","10/03/2026 10:32:55","think-cell","Think-Cell - Update or license renewal -Mise à jour ou renouvellement de licence","false",""
"INC0882118","SC_ALL_L2_WKS","20/04/2026 09:34:01","ThinkCell","WFH - Thinkcell - expired license issue","false","Assigned for Resolution"
"INC0866243","SC_ALL_L2_WKS","09/03/2026 11:34:31","Windows Workstation","Please provide temporary admin credentials for FR501344 to install the application in users PC.","false",""
"INC0838943","SC_ALL_L2_WKS","18/12/2025 10:28:07","Windows 11","Andrea has received a lot of applications which she hasn't asked for.","false","Assigned for Resolution"
"INC0805535","SC_ALL_L2_WKS","09/09/2025 08:33:03","Windows Account","Gidy - Windows account - ","false","Assigned for Resolution"
"INC0881031","SC_ALL_L2_GAM","16/04/2026 10:49:07","Network Drive","Network drive - Not authorized to access subfolder ","false","Assigned for Resolution"
"INC0811924","SC_ALL_L1_SDK","29/09/2025 10:42:40","Printing MFP","Demande de Code PUK ","false","Assigned for Resolution"
"INC0812728","SC_ALL_L1_SDK","01/10/2025 08:49:06","MS Project","Licence Microsoft Project suite à migration Windows 11","false","Assigned for Resolution"
"INC0824755","SC_ALL_L2_GAM","06/11/2025 08:40:06","Windows Account","Password Expiry Confirmation for Service Account","false","Assigned for Resolution"
"INC0841865","SC_ALL_L2_GAM","05/01/2026 08:30:23","Windows Account","Bolbec -Windows account - disabled ","false","Assigned for Resolution"
"INC0762880","SC_ALL_L2_WKS","23/04/2025 14:07:31","Windows Workstation","Je veux installer un logiciel blender avec son add on  cell blender et l'analyse Mcell4","false","Assigned for Resolution"
"INC0771869","SC_ALL_L2_WKS","22/05/2025 13:40:45","Adobe Reader","Uninstalled on my W11 computer","false","Assigned for Resolution"
"INC0780409","SC_ALL_L2_WKS","18/06/2025 12:46:08","Windows Workstation","Please provide temporary admin access to the PC : OR201550 as we have to perform SCTASK0392456. The credentials should be valid till 20-June-2025, 18.00 H","false",""
"INC0743149","SC_ALL_L2_GAM","25/02/2025 10:57:56","Network Drive","WFH - Network drive - user wants to recover all folders under Network drive H  -   GMA_TOUS","false","Assigned for Resolution"
"INC0768378","SC_ALL_L2_WKS","12/05/2025 15:27:51","Windows Workstation","l'utilisateur veux installer PowerBi ","false",""
"INC0752492","SC_ALL_L2_WKS","25/03/2025 09:00:30","Adobe Acrobat","page blanche s'affiche","false",""
"INC0823129","SC_ALL_L2_GAM","03/11/2025 05:21:01","Windows Account","ID1  - Zscaler blocked the account WHMK_ID1","false","Assigned for Resolution"
"INC0845424","SC_ALL_L2_WKS","13/01/2026 17:37:56","Windows Workstation","WFH - windows 11 ","false","Assigned for Resolution"
"INC0876292","SC_ALL_L2_GAM","02/04/2026 13:02:53","Windows Account","WFH - windows account - disabled ","false","Assigned for Resolution"
"INC0882790","SC_ALL_L2_WKS","21/04/2026 09:13:17","POWER BI","WFH-Saclay-Power BI Report Builder-installation request","false","Assigned for Resolution"
"INC0800845","SC_ALL_L2_WKS","26/08/2025 08:38:15","ACD LABS","PC W11, je ne retrouve pas ACD lab qui a du etre installé, pb synchronisation avec onedrive,  nous n'avons pas verifié le VPN","false","Assigned for Resolution"
"INC0851843","SC_ALL_L2_WKS","02/02/2026 09:12:15","Outlook 365","Issue to connect to office desktop application (outlook, teams, powerpoint, word, excel ...)","false","Assigned for Resolution"
"INC0756923","SC_ALL_L1_SDK","07/04/2025 11:28:14","Printing MFP","L' imprimante me demande un code puk , que faire ?","false","Assigned for Resolution"
"INC0739970","SC_ALL_L2_WKS","17/02/2025 09:38:01","Windows 11","wfh_Windows 11_souci de outlook","false","Assigned for Resolution"
"INC0868269","SC_ALL_L1_SDK","13/03/2026 09:59:08","KLUSTER","[TxM]-Impossible to connect to KLUSTER application using Proxy URL on Windows 11","false","Assigned for Resolution"
"INC0796960","SC_ALL_L2_GAM","11/08/2025 09:28:39","Windows Account","Impossible de se connecter sur windows","false",""
"INC0768214","SC_ALL_L2_WKS","12/05/2025 10:41:34","Adobe Acrobat","Des focntionnalités sont maquantes dans Acrobat Reader DC","false","Assigned for Resolution"
"INC0757059","SC_ALL_L2_WKS","07/04/2025 14:37:09","Windows Workstation","Please push package into OR201536","false",""
"INC0813385","SC_ALL_L2_GAM","02/10/2025 13:55:41","Windows Account","wfh_Windows Account_Compte désactive ","false","Assigned for Resolution"
"INC0810467","SC_ALL_L2_WKS","24/09/2025 09:57:44","Adobe Acrobat","problème d'installation de l'application Adobe Acrobat","false",""
"INC0758664","SC_ALL_L2_WKS","10/04/2025 16:06:13","Network Drive","wfh_Network Drive_souci lancrypte ","false","Assigned for Resolution"
"INC0854390","SC_ALL_L1_SDK","09/02/2026 08:41:25","Windows","Merci de déverrouiller mon compte ADMOP","false","Assigned for Resolution"
"INC0790525","SC_ALL_L2_WKS","18/07/2025 14:58:57","Adobe Acrobat","problem to access RITM0348659","false",""
"INC0849109","SC_ALL_L2_GAM","23/01/2026 17:44:41","Windows Account","Service Account Locked CBSVCSAMO","false","Assigned for Resolution"
"INC0876129","SC_ALL_L2_GAM","02/04/2026 09:31:35","Windows Account","Compte tout juste réactivé par les RH - merci de réactivé le compte de domaine etc","false",""
"INC0807477","SC_ALL_L2_WKS","15/09/2025 11:30:50","GED STORAGE","Besoin de plug in java pour travailler les documents ","false","Assigned for Resolution"
"INC0842099","SC_ALL_L2_GAM","05/01/2026 10:03:06","Windows Account","WFH - Windows account - account disabled","false","Assigned for Resolution"
"INC0842473","SC_ALL_L2_GAM","05/01/2026 18:05:42","Windows Account","wfh_Windows Account_compte désactivé  ","false","Assigned for Resolution"
"INC0862256","SC_ALL_L2_GAM","26/02/2026 13:13:01","Windows Account","THe user's office licence has been removed ","false","Assigned for Resolution"
"INC0842182","SC_ALL_L2_GAM","05/01/2026 11:08:37","Windows Account","Ziad essalhi - account deprovisioned / active on share2","false","Assigned for Resolution"
"INC0737231","SC_ALL_L2_WKS","07/02/2025 15:33:50","AnyDesk","AnyDesk Client tech ID ","false",""
"INC0757741","SC_ALL_L2_WKS","08/04/2025 17:40:34","Windows Account","Access to Loupe Browser ","false","Assigned for Resolution"
"INC0769323","SC_ALL_L2_WKS","14/05/2025 16:18:52","Windows Workstation","Note that these packages are available in the ""software request"" dropdown","false","Assigned for Resolution"
"INC0786370","SC_ALL_L2_WKS","04/07/2025 14:20:04","Adobe Acrobat","failed install  RITM0344561","false",""
"INC0809682","SC_ALL_L2_WKS","22/09/2025 14:45:09","Adobe Acrobat","wfh_adobe_user a perdu des options dans adobe ","true","Assigned for Resolution"
"INC0759658","SC_ALL_L2_WKS","14/04/2025 13:36:29","Adobe Acrobat","message d'erreur page blanche ","false",""
"INC0809919","SC_ALL_L2_WKS","23/09/2025 08:59:26","NONMEM-PSN right-click","Software Request","false","Assigned for Resolution"
"INC0793823","SC_ALL_L2_GAM","30/07/2025 10:36:33","Windows Account","Impossible de trouver l'utilisatrice sur teams avec son prénom ou nom","false","Assigned for Resolution"
"INC0844048","SC_ALL_L2_GAM","09/01/2026 10:15:42","Windows Workstation","[PR] Pas de licence pour utiliser Project 365","true","Assigned for Resolution"
"INC0767319","SC_ALL_L2_GAM","07/05/2025 12:25:19","Exchange","problem with sharing other people's calendars with me","false","Assigned for Resolution"
"INC0786345","SC_ALL_L2_WKS","04/07/2025 13:19:33","Windows Workstation","Bolbec - Windows Workstation - installer : Navisworks freedom","false","Assigned for Resolution"
"INC0811887","SC_ALL_L2_WKS","29/09/2025 09:56:14","Windows Workstation","Please install this package  Titian-Software-Ltd_Titian-Configuration-Editor_8.7.0.1_EN_X64_R02 Package into these PC-  OR201536 (W11) & EMVDTCSAPP1  - VDI","false","Assigned for Resolution"
"INC0799605","SC_ALL_L2_WKS","21/08/2025 10:05:12","MOE","MOE 2024 disappeared from my PC","true","Assigned for Resolution"
"INC0821470","SC_ALL_L2_WKS","28/10/2025 09:31:38","MS Project","Gidy - MS Project - demande d'installation de MS Project sur Windows 11. ","false","Assigned for Resolution"
"INC0836069","SC_ALL_L2_GAM","10/12/2025 14:50:03","NextGen MyITportal","je m'occupe du transfert d'un collaborateur et je suis coincée sur la demande de compte utilisateur windows","false","Assigned for Resolution"
"INC0825021","SC_ALL_L2_WKS","06/11/2025 14:52:13","Windows Workstation","WFH-WinMerge-Installation issue ","false","Assigned for Resolution"
"INC0785071","SC_ALL_L2_WKS","01/07/2025 15:47:10","Windows Workstation","les applications sont installées mais ne fonctionnent pas","false","Assigned for Resolution"
"INC0768424","SC_ALL_L1_SDK","12/05/2025 16:44:07","FILEOPEN","I can't open encrypted documents.","false","Assigned for Resolution"
"INC0794552","SC_ALL_L2_WKS","01/08/2025 12:17:26","Network Drive","WFH  -Network Drive G - Access ","false","Assigned for Resolution"
"INC0750555","SC_ALL_L1_SDK","19/03/2025 08:57:52","Windows","Couldn't Open Port","true","Assigned for Resolution"
"INC0872403","SC_ALL_L1_SDK","24/03/2026 10:18:26","gd211633","mise à jour horraire, et mise à jour edge","false","Assigned for Resolution"
"INC0816256","SC_ALL_L2_WKS","10/10/2025 16:13:43","Windows Workstation","Surval - VS code - install ","false","Assigned for Resolution"
"INC0814361","SC_ALL_L2_GAM","06/10/2025 14:56:55","Windows Account","Deprovisioned account - active on sh@re2","false","Assigned for Resolution"
"INC0880216","SC_ALL_L2_WKS","14/04/2026 13:32:09","Office Timeline","[Timeline update] was updated yesterday, but seems to be an older version when I try to edit the timelines","false","Assigned for Resolution"
"INC0811423","SC_ALL_L2_WKS","26/09/2025 11:25:19","Windows Workstation","Thincell - Communication de ma license pour saisie suite à migration","false","Assigned for Resolution"
"INC0734167","SC_ALL_L2_WKS","29/01/2025 16:59:08","NextGen MyITportal","wfh_software installation ","false","Assigned for Resolution"
"INC0822474","SC_ALL_L2_WKS","30/10/2025 13:23:58","Laps","<Urgent>Need temp password","false","Assigned for Resolution"
"INC0793498","SC_ALL_L2_WKS","29/07/2025 11:03:38","Adobe Acrobat","après l'installation problème de licence ","false",""
"INC0799621","SC_ALL_L2_WKS","21/08/2025 10:35:26","CHIFFREMENT LAN","Code PIN LAN Crypt","false","Assigned for Resolution"
"INC0760418","SC_ALL_L2_WKS","15/04/2025 15:47:04","Windows Workstation","Software request- J'ai besoin d'installer le logiciel Loupe Browser ","false",""
"INC0792108","SC_ALL_L2_WKS","23/07/2025 16:28:42","Windows Workstation","Please provide the temporary admin credentials for pc or201427 to install the application Softmax Pro LRT for testing","false",""
"INC0820114","SC_ALL_L2_GAM","23/10/2025 08:14:24","Windows Account","WFH-Windows-Derpvisioned account ","false","Assigned for Resolution"
"INC0842212","SC_ALL_L2_WKS","05/01/2026 11:37:19","NextGen","merci de supprimer : u.trust LAN Crypt","false","Assigned for Resolution"
"INC0749679","SC_ALL_L2_WKS","17/03/2025 09:09:41","Adobe Acrobat","WFH -  Adobe aCrobat - Licence issue ","false","Assigned for Resolution"
"INC0860240","SC_ALL_L2_WKS","20/02/2026 16:44:49","Windows","IMS0000848: access - Software request","false","Assigned for Resolution"
"INC0875793","SC_ALL_L2_WKS","01/04/2026 13:42:46","Windows 11","need temporary local admin rights (OR201966) to install software","false","Assigned for Resolution"
"INC0730906","SC_ALL_L2_WKS","21/01/2025 11:44:12","Laps","Requirement to temprorary admin credentials for PC: FR501323","false",""
"INC0779390","SC_ALL_L1_SDK","16/06/2025 10:03:53","Service Desk Live Chat","Request to generate new QR for Microsoft Authenticator","false","Assigned for Resolution"
"INC0748781","SC_ALL_L2_GAM","13/03/2025 09:33:14","Windows Account","Azzedine EL HARIM - Windows Account - Account is disabled","false","Assigned for Resolution"
"INC0821210","SC_ALL_L2_WKS","27/10/2025 14:10:05","FlowJo","Please install FlowJo v11 (for testing purposes) on user's desktop without uninstalling FlowJo v10. Reference incident : INC0818454.","false","Assigned for Resolution"
"INC0826161","SC_ALL_L1_SDK","11/11/2025 18:25:57","Teams","There is hearing issue during team meetings, some issue with the Teams application in VMWARE virtual desktop ","false","Assigned for Resolution"
"INC0782887","SC_ALL_L1_SDK","25/06/2025 13:36:03","Windows Account","Please provide the password of generic account 'TW1HelloYeti@servier.com'.  This is required for Hello Door Yeti solution installation.   ","false","Incorrect Assignment"
"INC0763277","SC_ALL_L2_WKS","24/04/2025 10:43:19","CAMERA BL","je n'ai pas la possibilité d'activer ma caméra depuis teams, il doit s'agir d'un paramétrage que je n'arrive pas à faire de mon côté ","false","Assigned for Resolution"
"INC0849063","SC_ALL_L2_WKS","23/01/2026 16:04:58","Excel 365","Think-Cell - Update or license renewal -Mise à jour ou renouvellement de licence","false","Assigned for Resolution"
"INC0857244","SC_ALL_L2_WKS","13/02/2026 11:15:09","Adobe Acrobat","Surval - Adobe acrobat - PDF documents  not displaying properly 'Police issue'","false","Assigned for Resolution"
"INC0787523","SC_ALL_L1_SDK","08/07/2025 16:39:46","VALEDOC","Application Valedoc ne fonctionne pas","false","Assigned for Resolution"
"INC0750119","SC_ALL_L2_WKS","18/03/2025 08:06:45","AnyDesk","AnyDesk - Une nouvelle solution pour une aide à distance ! / New solution for remote assistance !","false","Assigned for Resolution"
"INC0799707","SC_ALL_L2_WKS","21/08/2025 13:28:11","Windows Workstation","gidy_Windows Workstation_ installation des équipements ","false","Assigned for Resolution"
"INC0804275","SC_ALL_L2_WKS","04/09/2025 15:51:04","WEBSOP","WFH - Windows 11 : websop - Access ","false","Assigned for Resolution"
"INC0835877","SC_ALL_L1_SDK","10/12/2025 09:48:00","MS Project","Gidy - MS project - dupliquer la programmation MS project  sur plusieurs postes","false","Assigned for Resolution"
"INC0744453","SC_ALL_L2_WKS","28/02/2025 12:30:59","Windows Workstation","Besoin d'avoir l'application pour suivi status séquenceurs ","false","Assigned for Resolution"
"INC0851916","SC_ALL_L2_GAM","02/02/2026 10:02:47","Windows Account","Compte à ractiver - VAN DEN BOSSCHE","false","Assigned for Resolution"
"INC0812812","SC_ALL_L2_WKS","01/10/2025 10:35:58","Windows Workstation","instalaltion du logicel ","false",""
"INC0832330","SC_ALL_L2_WKS","01/12/2025 08:57:29","Windows Workstation","Please push the ""Molecular-Devices_SoftMax-Pro_7.3.1_X64_EN_R01"" into ""OR201475"" ","false",""
"INC0872386","SC_ALL_L2_WKS","24/03/2026 09:56:52","Windows","Problème d'installation Snipping Tool et Microsoft To Do","false","Assigned for Resolution"
"INC0825252","SC_ALL_L2_WKS","07/11/2025 09:27:19","CITAVI","La version installée sur mon PC n'est pas la bonne","false","Assigned for Resolution"
"INC0769669","SC_ALL_L2_WKS","15/05/2025 13:41:23","Windows Workstation","Please deploy below packages into EMDTVSAPPC1-098","false",""
"INC0818078","SC_ALL_L2_WKS","16/10/2025 11:53:05","Adobe Acrobat","Suite au passage vers Windows 11, lors de la mise à niveau pour Adobe, celle-ci est restée bloquée à 90%","false","Assigned for Resolution"
"INC0766749","SC_ALL_L2_WKS","06/05/2025 09:50:50","Windows Workstation","saclay_Windows Workstation_installation logiciels ","false","Assigned for Resolution"
"INC0775788","SC_ALL_L2_GAM","03/06/2025 11:34:16","Windows Account","Surval- Windows account-  user account was deprovisioned","false","Assigned for Resolution"
"INC0821105","SC_ALL_L2_WKS","27/10/2025 11:23:47","ePaper","Impossibilité d'initier l'application ePaper","false","Assigned for Resolution"
"INC0736562","SC_ALL_L2_WKS","06/02/2025 08:34:05","WEBSOP","Je suis en TT, je ne peux pas ouvrir un document pour le modifier","false","Assigned for Resolution"
"INC0841882","SC_ALL_L2_GAM","05/01/2026 08:46:06","Windows Account","We can't configurate the user, it show that the user is incorrect. ","false","Incorrect Assignment"
"INC0740286","SC_ALL_L2_GAM","17/02/2025 15:52:52","Visio 365","[ en attente de licence ] CB - Visio 365 - Problème de licence ","false","Assigned for Resolution"
"INC0757245","SC_ALL_L2_WKS","07/04/2025 22:00:12","Windows 11","W11 - Duplicate icons","false","Assigned for Resolution"
"INC0868866","SC_ALL_L2_WKS","16/03/2026 10:15:22","WebPV","A error message has appeared.","false","Assigned for Resolution"
"INC0862476","SC_ALL_L2_GAM","26/02/2026 19:25:35","Ansible tower","Error on Ansible Workflow 335933 : job [CLOUD-AD-PRD] Distribution List Management (WFL)","false","Assigned for Resolution"
"INC0789527","SC_ALL_L1_SDK","16/07/2025 09:23:37","SharePoint O365","problème de synchronisation avec SharePoint","false","Assigned for Resolution"
"INC0812071","SC_ALL_L2_WKS","29/09/2025 14:30:02","Adobe Acrobat","Surval - Adobe Acrobat - problème d'ouvrir les  PDF  ( windows 11 )","false","Assigned for Resolution"
"INC0817566","SC_ALL_L2_WKS","15/10/2025 09:34:51","Windows Workstation","Besoin application GUARDTEK","false","Assigned for Resolution"
"INC0832653","SC_ALL_L2_WKS","01/12/2025 16:40:30","Windows Workstation","Impossible d'installer power bi desktop depuis le portail d'entreprise sur mon pc.","false","Assigned for Resolution"
"INC0843161","SC_ALL_L1_SDK","07/01/2026 11:12:21","Windows Account","Compte à réactiver - Racem Zekri","false","Assigned for Resolution"
"INC0790153","SC_ALL_L2_WKS","17/07/2025 16:34:26","Windows Workstation","Je souhaite installer ce logiciel d'architecture gratuit","false","Assigned for Resolution"
"INC0843163","SC_ALL_L1_SDK","07/01/2026 11:13:25","Windows Account","Compte à réactiver - Bahaeddine HAJRI","false","Assigned for Resolution"
"INC0789743","SC_ALL_L2_WKS","16/07/2025 16:10:43","DIANE","Installation of ISI TOOLBOX package.","false",""
"INC0858148","SC_ALL_L2_WKS","16/02/2026 13:15:12","Tablet","Issue with installation of profile during enrollment a new iPad","false","Assigned for Resolution"
